구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
이동화장실,대율리 소공원(갈매기아파트,,대구광역시 군위군 부계면 대율리 1170-1,2,1,,36.054913,128.655598
이동화장실,농산물판매장,,대구광역시 군위군 부계면 동산리 1507-1,1,2,,36.049998,128.649103
공중화장실,석굴암주차장,대구광역시 군위군 부계면 한티로 1904,대구광역시 군위군 부계면 남산리 317-1,2,5,,36.048022,128.643146
이동화장실,동산주차장(분양부지),대구광역시 군위군 부계면 한티로 1943,대구광역시 군위군 부계면 동산리 1651,1,2,,36.049234,128.645075
공중화장실,석굴암 화장실,대구광역시 군위군 부계면 남산4길 22,대구광역시 군위군 부계면 남산리 310-1,4,7,,36.04835,128.64141
이동화장실,쉬었다가세요 식당 앞 다리밑,,대구광역시 군위군 부계면 춘산리 79-1,1,1,,36.071486,128.658629
이동화장실,동산계곡 입구,,대구광역시 군위군 부계면 동산리 산59-2,1,1,,36.046363,128.660324
공중화장실,동산계곡 주차장,대구광역시 군위군 부계면 원효길 183,대구광역시 군위군 부계면 동산리 320-2,3,4,,36.040903,128.668746
공중화장실,오도암 제1주차장,,대구광역시 군위군 부계면 동산리 산73-4,3,3,,36.032426,128.683734
이동화장실,동산계곡식당 밑 주차장,,대구광역시 군위군 부계면 동산리 317-1,1,1,,36.039499,128.66978
이동화장실,동산계곡 저수지 상류,,대구광역시 군위군 부계면 동산리 산76-1,1,1,,36.036806,128.671389
개방화장실,대림주유소,대구광역시 군위군 부계면 치산효령로 1274,대구광역시 군위군 부계면 창평리 757-1,1,1,09:00~19:00,36.096765,128.672281
개방화장실,위천수변테마파크 화장실,"대구광역시 군위군 효령면 간동유원지길 8, 위천수변테마파크",대구광역시 군위군 효령면 병수리 730,7,16,09:00~18:00,36.176592,128.586189
개방화장실,어슬렁대추정원,대구광역시 군위군 의흥면 수서길 4,대구광역시 군위군 의흥면 수서리 663-37,2,4,,36.178674,128.68674
개방화장실,힐링도시숲 화장실,대구광역시 군위군 군위읍 경북대로 3111,대구광역시 군위군 군위읍 무성리 59,2,3,,36.185394,128.574458
공중화장실,삼국유사우체국 화장실,"대구광역시 군위군 삼국유사면 삼국유사로 28, 고로우체국",대구광역시 군위군 삼국유사면 화수리 78-4 고로우체국,1,2,,36.127468,128.757566
공중화장실,백령주유소 화장실,대구광역시 군위군 군위읍 경북대로 3986,대구광역시 군위군 군위읍 정리 679,1,3,,36.258029,128.571716
공중화장실,남경주유소 화장실,대구광역시 군위군 군위읍 경북대로 4115,대구광역시 군위군 군위읍 오곡리 828-6,1,2,,36.269666,128.573756
공중화장실,동부주유소 화장실,대구광역시 군위군 군위읍 군청로 15,대구광역시 군위군 군위읍 동부리 877,2,2,,36.225479,128.567623
공중화장실,세교주유소 화장실,대구광역시 군위군 군위읍 경북대로 3335,대구광역시 군위군 군위읍 금구리 877-6,1,1,,36.202181,128.56349
공중화장실,군위119안전센터 화장실,"대구광역시 군위군 군위읍 군위공단길 65, 소방파출소",대구광역시 군위군 군위읍 수서리 621-7 소방파출소,3,2,,36.207604,128.560435
공중화장실,효령버스정류소 화장실,대구광역시 군위군 효령면 치산효령로 2385-4,대구광역시 군위군 효령면 중구리 195-4,2,2,,36.156002,128.586521
공중화장실,군위농협하나로유통센터 화장실,"대구광역시 군위군 효령면 경북대로 2185, 농산물물류센타",대구광역시 군위군 효령면 고곡리 438 농산물물류센타,5,9,,36.118466,128.573292
공중화장실,군위인재양성원 화장실,대구광역시 군위군 군위읍 동서1길 2,대구광역시 군위군 군위읍 서부리 45-1,6,8,,36.236433,128.568222
공중화장실,한국전력공사 군위지점 화장실,대구광역시 군위군 군위읍 중앙5길 9,대구광역시 군위군 군위읍 서부리 420-1,4,4,,36.238608,128.566627
공중화장실,군위등기소 화장실,"대구광역시 군위군 군위읍 도군로 2734, 대구지방법원 군위군법원등기소",대구광역시 군위군 군위읍 동부리 332-2 대구지방법원 군위군법원등기소,3,3,,36.240745,128.569463
이동화장실,어의지 입구,대구광역시 군위군 소보면 내의리 산 43-9,대구광역시 군위군 소보면 내의리 산 43-9,1,1,09:00~24:00,37.57871896,126.8136575
공중화장실,의흥파출소 화장실,대구광역시 군위군 의흥면 읍내6길 7,대구광역시 군위군 의흥면 읍내리 359-2,1,1,,36.17519337,128.7171499
공중화장실,우보치안센터 화장실,대구광역시 군위군 우보면 이화길 127,대구광역시 군위군 우보면 이화리 1294-4,2,2,09:00~18:00,36.19569007,128.6642235
공중화장실,삼국유사치안센터 화장실,대구광역시 군위군 삼국유사면 삼국유사로 438-7,대구광역시 군위군 삼국유사면 학성리 402-14,2,2,09:00~18:00,36.12300328,128.7942996
공중화장실,군위교육지원청화장실,대구광역시 군위군 군위읍 군청로 204,대구광역시 군위군 군위읍 동부리 230-2,7,6,09:00~18:00,36.1435,128.3421
개방화장실,농림축산식품부 국립농산물품질관리원 군위분소,대구광역시 군위군 군위읍 동서길 29,대구광역시 군위군 군위읍 서부리 386,2,2,09:00~18:00,36.236421,128.565071
공중화장실,창평지 친환경 생태공원 화장실,,대구광역시 군위군 부계면 창평리 1525,2,4,,36.090543,128.682416
공중화장실,서부3리마을회관화장실,"대구광역시 군위군 군위읍 중앙6길 9, 서부3리마을회관",대구광역시 군위군 군위읍 서부리 16-1 서부3리마을회관,5,6,,36.240078,128.567236
공중화장실,군위시장 공중화장실,"대구광역시 군위군 군위읍 중앙5길 4-11, 군위전통시장",대구광역시 군위군 군위읍 서부리 22-5 군위전통시장,4,8,,36.238637,128.567126
공중화장실,군위읍사무소 화장실,"대구광역시 군위군 군위읍 중앙길 134, 군위읍사무소",대구광역시 군위군 군위읍 동부리 324-4 군위읍사무소,4,2,,36.239998,128.568653
이동화장실,원산교 입구,대구광역시 군위군 원산리 1313-20,대구광역시 군위군 의흥면 원산리 1313-20,1,1,,36.171091,128.717546
이동화장실,읍내2리 쉼터,대구광역시 군위군 읍내리 249-2,대구광역시 군위군 의흥면 읍내리 249-2,1,1,,36.172492,128.717597
공중화장실,의흥팔공주유소 화장실,대구광역시 군위군 의흥면 29,대구광역시 군위군 의흥면 읍내리 252-7,1,2,,36.173006,128.718588
공중화장실,의흥면사무소 화장실,"대구광역시 군위군 의흥면 읍내길 39, 의흥면사무소",대구광역시 군위군 의흥면 읍내리 420-16 의흥면사무소,2,2,,36.175798,128.715212
개방화장실,의흥보건지소 화장실,"대구광역시 군위군 의흥면 읍내길 25, 의흥보건지소",대구광역시 군위군 의흥면 읍내리 468-8,2,2,09:00~18:00,36.176275,128.71381
